Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST,Netznutzung,Energielieferungkosten,Abgaben an das Gemeinwesen,Förderabgaben (KEV)
Basel-Landschaft,H2,2011,Günstigstes Produkt,23.44,10.907657,11.645943,0.43,0.45
Aargau,H8,2011,Günstigstes Produkt,16.89,7.975333,8.032726,0.43232,0.45
Tessin,C6,2012,Günstigstes Produkt,16.24,5.8551335,7.9471664,1.07,0.45
Aargau,H8,2013,Günstigstes Produkt,16.96,7.515333,8.512205,0.43232,0.45
Aargau,H8,2012,Günstigstes Produkt,16.58,7.6653333,8.032726,0.43232,0.45
Genf,H8,2012,Günstigstes Produkt,18.46,6.8628697,10.082965,1.07016,0.45
Genf,H4,2012,Günstigstes Produkt,18.46,6.862159,10.081921,1.07016,0.45
Luzern,C5,2011,Günstigstes Produkt,14.46,5.6735,7.9064665,0.42525,0.45
Genf,H8,2013,Günstigstes Produkt,17.82,6.8628697,9.437607,1.07016,0.45
Genf,H4,2013,Günstigstes Produkt,17.82,6.862159,9.436651,1.07016,0.45
Genf,C3,2012,Günstigstes Produkt,18.32,6.8464165,9.954787,1.0686,0.45
Waadt,C5,2012,Günstigstes Produkt,22.19,9.231307,10.661226,1.85,0.45
Genf,C3,2013,Günstigstes Produkt,17.85,6.8464165,9.475051,1.0686,0.45
Waadt,C5,2011,Günstigstes Produkt,23.26,9.5413065,11.424133,1.85,0.45
Freiburg,C2,2011,Günstigstes Produkt,20.46,10.407558,9.599477,0.0,0.45
Wallis,H1,2011,Günstigstes Produkt,24.02,12.445,10.6,1.07,0.45
Tessin,C6,2011,Günstigstes Produkt,16.06,6.9366665,7.613333,1.07,0.45
Freiburg,C1,2012,Günstigstes Produkt,20.04,10.099222,9.487506,0.0,0.45
Tessin,C6,2013,Günstigstes Produkt,15.78,5.4513335,8.0176,1.07,0.45
Basel-Landschaft,C3,2012,Günstigstes Produkt,18.15,8.021334,9.242666,0.44,0.45
Aargau,C3,2012,Günstigstes Produkt,16.71,7.4413333,8.399583,0.42,0.45
Aargau,H6,2013,Günstigstes Produkt,12.65,4.7054944,7.2331243,0.42,0.45
Freiburg,C1,2013,Günstigstes Produkt,19.8,9.85711,9.494427,0.0,0.45
Aargau,C2,2013,Günstigstes Produkt,17.11,7.0572,9.057662,0.42,0.45
Aargau,H5,2012,Günstigstes Produkt,15.51,7.131067,7.527081,0.42,0.45
Aargau,C3,2013,Günstigstes Produkt,16.87,7.291333,8.70625,0.42,0.45
Freiburg,H2,2012,Günstigstes Produkt,21.64,12.18576,8.99552,0.0,0.45
Aargau,H7,2012,Günstigstes Produkt,14.75,6.5148244,7.434758,0.42,0.45
Obwalden,H8,2011,Günstigstes Produkt,20.16,10.718036,8.991111,0.0,0.45
Aargau,C4,2013,Günstigstes Produkt,16.04,6.463267,8.409977,0.42,0.45
Jura,H7,2013,Günstigstes Produkt,17.32,7.274904,8.51823,1.08,0.45
Genf,H7,2011,Günstigstes Produkt,17.52,6.8943734,9.106726,1.07484,0.45
